Order_ID,Product,Vendor,Region,Country,Shipment_Mode,Order_Value_USD,Country_Risk_Index,Risk_Reason_Geo,Natural_Disaster_Risk,Climate_Zone_Detail,Supplier_Credit_Rating,Financial_Risk_Reason,DPO_Impact_Days,Cost_Competitiveness,Is_Late,Delay_Days,Delay_Root_Cause,Order_Accuracy_Rate,Capacity_Utilization,Defect_Rate,Defect_Flag,Defect_Root_Cause,Audit_Status,Regulatory_Compliance,ESG_Score,Responsiveness_Score,Innovation_Index,Collaboration_Index,Relationship_Issue
PO-20240000,Industrial Machinery,Euro_Ind_3,Region_EU_Central,Sweden,Sea,163672,24,,Low,Safe Zone,A,Stable,54,104,0,0,On Time,100,26,0.0235503124288041,0,Perfect,Certified,Pass,88,77,6.1,4.1,Good Standing
PO-20240001,Coffee Beans,LatAm_Logistics_4,Region_LatAm_South,Brazil,Sea,185704,80,Trade Tariffs,High,Earthquake Fault,A,Stable,31,98,0,0,On Time,98,40,0.0068584125169863,0,Perfect,Certified,Pass,92,97,1.8,8.3,Good Standing
PO-20240002,Textiles,LatAm_Logistics_4,Region_LatAm_South,Peru,Sea,410239,78,Trade Tariffs,High,Monsoon Region,AAA,Stable,81,101,0,0,On Time,99,50,0.0205542537752193,0,Perfect,Certified,Pass,43,81,2.8,9.1,Good Standing
PO-20240003,Soybeans,LatAm_Logistics_3,Region_LatAm_South,Argentina,Air,225333,77,Sanctions,High,Wildfire Zone,BBB,Stable,50,93,1,6,Raw Material Shortage,96,80,0.0214395127644137,0,Perfect,Certified,Pass,46,87,9.0,3.7,Management Change
PO-20240004,Wine/Beverage,Euro_Ind_3,Region_EU_Central,France,Sea,20569,16,,Low,Safe Zone,A,Stable,56,104,0,0,On Time,95,68,0.0170292761018191,0,Perfect,Certified,Pass,76,86,2.9,3.5,Management Change
PO-20240005,Cocoa Beans,Afro_Trade_2,Region_Africa_West,Ivory Coast,Sea,188602,92,Border Closure,High,Earthquake Fault,A,Stable,65,105,1,15,Labor Strike,95,65,0.0142312610992035,0,Perfect,Certified,Pass,88,95,9.5,3.2,Lack of Transparency
PO-20240006,Textiles,Asia_Tech_3,Region_Asia_Pacific,Vietnam,Sea,102139,35,,Low,Safe Zone,AA,Stable,79,94,0,0,On Time,98,66,0.000211818644354,0,Perfect,Certified,Pass,72,80,1.4,1.9,Contract Dispute
PO-20240007,Copper,LatAm_Logistics_2,Region_LatAm_South,Chile,Air,10759,56,,Low,Safe Zone,C,High Debt Ratio,49,95,0,0,On Time,98,69,0.0140758667650547,0,Perfect,Certified,Pass,73,92,2.6,7.0,Good Standing
PO-20240008,Fish/Seafood,Afro_Trade_1,Region_Africa_West,Senegal,Air,393513,84,Port Strike,High,Monsoon Region,C,Credit Downgrade,57,104,1,20,Port Congestion,99,46,0.0227914036948931,0,Perfect,Certified,Pass,78,75,7.4,2.0,Contract Dispute
PO-20240009,Plastic Resins,Asia_Tech_2,Region_Asia_Pacific,China,Sea,458759,31,,Low,Safe Zone,AAA,Stable,87,99,0,0,On Time,100,61,0.0398994505533204,1,Color Mismatch,Pending,Pass,47,88,3.8,4.2,Good Standing
PO-20240010,Soybeans,LatAm_Logistics_4,Region_LatAm_South,Brazil,Sea,389267,50,,Low,Safe Zone,BBB,Stable,33,110,0,0,On Time,99,53,0.007449480360025,0,Perfect,Certified,Pass,87,62,3.9,5.3,Good Standing
PO-20240011,Microchips,Asia_Tech_7,Region_Asia_Pacific,Malaysia,Sea,417432,49,,Low,Safe Zone,BBB,Stable,35,106,0,0,On Time,99,70,0.0206305818244886,0,Perfect,Certified,Pass,71,87,2.7,1.1,Contract Dispute
PO-20240012,Silver,US_Supply_Co_2,Region_US_East,Mexico,Land,364480,16,,Low,Safe Zone,A,Stable,73,95,1,13,Customs Hold,99,57,0.0162838343514177,0,Perfect,Certified,Pass,92,77,7.2,3.9,Pricing Conflict
PO-20240013,Silver,US_Supply_Co_2,Region_US_East,Mexico,Air,232320,4,,Low,Safe Zone,AA,Stable,32,101,0,0,On Time,100,55,0.0022058131311425,0,Perfect,Certified,Pass,68,87,6.8,1.6,Pricing Conflict
PO-20240014,Silver,US_Supply_Co_5,Region_US_East,Mexico,Land,417509,0,,Low,Safe Zone,A,Stable,56,102,0,0,On Time,97,67,0.0188238558728298,0,Perfect,Certified,Pass,60,72,2.5,1.8,Management Change
PO-20240015,Iron Ore,LatAm_Logistics_3,Region_LatAm_South,Brazil,Air,340027,68,Port Strike,Low,Safe Zone,C,High Debt Ratio,88,92,1,8,Labor Strike,100,68,0.0544898010367307,1,Moisture Content High,Failed,Pass,84,88,6.6,5.9,Good Standing
PO-20240016,Oil/Petroleum,LatAm_Logistics_2,Region_LatAm_South,Colombia,Air,262349,74,Port Strike,High,Typhoon Belt,AAA,Stable,70,101,0,0,On Time,97,80,0.0196275918149045,0,Perfect,Certified,Pass,82,80,4.6,6.3,Good Standing
PO-20240017,Palm Oil,Asia_Tech_3,Region_Asia_Pacific,Malaysia,Sea,254984,27,,Low,Safe Zone,BB,Pending Lawsuit,82,90,0,0,On Time,97,80,0.0249437070883946,0,Perfect,Certified,Pass,77,82,2.6,3.0,Management Change
PO-20240018,Medical Devices,US_Supply_Co_2,Region_US_East,USA,Air,216670,10,,Low,Safe Zone,A,Stable,52,100,0,0,On Time,100,57,0.0017506188809184,0,Perfect,Certified,Pass,60,70,4.3,7.1,Good Standing
PO-20240019,Rubber,Asia_Tech_4,Region_Asia_Pacific,Vietnam,Sea,204779,55,,Low,Safe Zone,AAA,Stable,37,94,0,0,On Time,97,73,0.024164973572326,0,Perfect,Certified,Pass,96,88,1.4,5.7,Good Standing
PO-20240020,Luxury Goods,Euro_Ind_2,Region_EU_Central,France,Sea,381466,29,,Low,Safe Zone,A,Stable,56,100,0,0,On Time,100,61,0.0008046613025531,0,Perfect,Certified,Pass,76,101,3.1,3.1,Slow Response
PO-20240021,Cocoa Beans,Afro_Trade_2,Region_Africa_West,Cameroon,Sea,82464,84,Border Closure,High,Earthquake Fault,BBB,Stable,36,98,0,0,On Time,99,55,0.0014780339586778,0,Perfect,Certified,Pass,81,92,7.6,1.4,Slow Response
PO-20240022,Coffee Beans,LatAm_Logistics_2,Region_LatAm_South,Colombia,Air,8795,87,Port Strike,High,Wildfire Zone,AAA,Stable,78,105,0,0,On Time,96,81,0.0221337030880585,0,Perfect,Certified,Pass,76,82,6.1,3.9,Contract Dispute
PO-20240023,Coffee Beans,Afro_Trade_2,Region_Africa_West,Ivory Coast,Sea,196394,80,Border Closure,High,Wildfire Zone,A,Stable,44,96,0,0,On Time,100,41,0.0126680697255621,0,Perfect,Certified,Pass,72,95,1.0,8.3,Good Standing
PO-20240024,Microchips,Asia_Tech_6,Region_Asia_Pacific,Japan,Sea,158456,50,,Low,Safe Zone,AA,Stable,64,99,0,0,On Time,100,40,0.0600627148490942,1,Software Bug,Failed,Pass,69,92,6.1,1.0,Lack of Transparency
PO-20240025,Iron Ore,LatAm_Logistics_4,Region_LatAm_South,Brazil,Sea,358885,60,,Low,Safe Zone,BB,Merger Uncertainty,61,93,0,0,On Time,96,53,0.0218347068587047,0,Perfect,Certified,Pass,54,72,6.5,5.7,Good Standing
